Услуга,Услуга закрывает потребность Чью?,Компания Партнер,Закрывает потребность 1 какую?,Закрывает потребность 2 какую?,Кросс-услуга,Кросс-услуга для кого???
- автокредиты B2C,Для физических лиц,Экспобанк,Транспорт,Деньги,,
- автокредиты С2С,Для физических лиц,Экспобанк,Транспорт,Деньги,,
- кредиты под залог автомобиля,Для физических лиц,Экспобанк,Деньги,Транспорт,,
- кредиты под залог недвижимости,Для физических лиц,Экспобанк,Деньги,Недвижимость,,
- дебетовые карты,Для физических лиц,Экспобанк,Удобство и Финансовые расчеты,Финансовая безопасность,,
- кредитные карты,Для физических лиц,Экспобанк,Деньги,Комфорт и удобство,,
- вклады и накопительные счета,Для физических лиц,Экспобанк,Сохранение сбережений,Спокойствие и уверенность,,
- ИИС,Для физических лиц,Экспобанк,Увеличение сбережений,Налоговые льготы и вычеты,,
- валюта,Для физических лиц,Экспобанк,Сохранение сбережений,Спокойствие и уверенность,,
- инвестиционное консультирование,Для физических лиц,Экспобанк,Увеличение сбережений,Прозрачность и безопасность,,
- драгоценные металлы на Мосбирже,Для физических лиц,Экспобанк,Сохранение сбережений,Прозрачность и безопасность,,
- драгоценные металлы в слитках и монетах,Для физических лиц,Экспобанк,Сохранение сбережений,Прозрачность и безопасность,,
- металлические счета,Для физических лиц,Экспобанк,Сохранение сбережений,Прозрачность и безопасность,,
- страхование от Д2 миниКаско,Для физических лиц,Экспобанк,Финансовая безопасность,Транспорт,,
- страхование от Д2 е-Осаго,Для физических лиц,Экспобанк,Спокойствие и уверенность,Финансовая безопасность,,
- страхование от Д2 защита процентов по вкладу,Для физических лиц,Экспобанк,Финансовая безопасность,Увеличение сбережений,,
- страхование от Д2 семейное страхование жизни и здоровья от НС и ДТП,Для физических лиц,Экспобанк,Спокойствие и уверенность,Финансовая безопасность,,
- аренда сейфов,Для физических лиц,Экспобанк,Спокойствие и уверенность,Защита от краж и утрат,,
- премиальное обслуживание ,Для физических лиц,Экспобанк,Комфорт и удобство,Привилегии и бонусы,,
- обслуживание ВЭД,ЮЛ,Экспобанк,Упрощение международных торговых операций,Финансовая безопасность,,
- кредиты,ЮЛ,,Деньги,Комфорт и удобство,,
- расчетные счета,ЮЛ,Экспобанк,Удобство и Финансовые расчеты,Управление финансовыми потоками,,
- депозиты,ЮЛ,Экспобанк,Сохранение сбережений,Управление финансовыми потоками,,
- бизнес-карта,ЮЛ,Экспобанк,Комфорт и удобство,Привилегии и бонусы,,
- зарплатный проект,ЮЛ,Экспобанк,Удобство и Финансовые расчеты,Управление финансовыми потоками,,
- комплексное предложение услуг по международной логистике,ЮЛ,Экспобанк,Упрощение международных торговых операций,Финансовая безопасность,,
- сделки слияния и поглощения (M&A),ЮЛ,Экспобанк,Рост и расширение бизнеса,Финансовая безопасность,,
- мультифункциональная система управления счетами организации в режиме oline (Банк-Клиент),ЮЛ,Экспобанк,Удобство и Финансовые расчеты,Управление финансовыми потоками,,
- торговый эквайринг (доступно для клиентов Центрально-черноземного филиала),ЮЛ,Экспобанк,Удобство и Финансовые расчеты,Управление финансовыми потоками,,
- инвестиционная деятельность,ЮЛ,Экспобанк,Увеличение сбережений,Налоговые льготы и вычеты,,
- реализация непрофильного имущества,ЮЛ,Экспобанк,Рост и расширение бизнеса,Приобретение по выгодной цене,,
- сервис проверки контрагента,ЮЛ,Экспобанк,Финансовая безопасность,Спокойствие и уверенность,,
- страхование имущества граждан (за исключением транспортных средств),Для физических лиц,Д2 страхование,Финансовая безопасность,Имущество,,
- страхование гражданской ответственности за причинение вреда третьим лицам,Для физических лиц,Д2 страхование,Спокойствие и уверенность,Финансовая безопасность,,
- страхование от несчастных случаев и болезней,Для физических лиц,Д2 страхование,Спокойствие и уверенность,Финансовая безопасность,,
- страхование медицинское ,Для физических лиц,Д2 страхование,Спокойствие и уверенность,Финансовая безопасность,,
- страхование средств наземного транспорта (за исключением средств железнодорожного транспорта),Для физических лиц,Д2 страхование,Спокойствие и уверенность,Финансовая безопасность,,
- страхование грузов,Для физических лиц,Д2 страхование,Финансовая безопасность,Имущество,,
- страхование гражданской ответственности владельцев автотранспортных средств,Для физических лиц,Д2 страхование,Спокойствие и уверенность,Финансовая безопасность,,
- страхование имущества юридических лиц (за исключением транспортных средств и сельскохозяйственного страхования),ЮЛ,Д2 страхование,Финансовая безопасность,Имущество,,
- страхование гражданской ответственности за неисполнение или ненадлежащее исполнение обязательств по договору,ЮЛ,Д2 страхование,Спокойствие и уверенность,Финансовая безопасность,,
- страхование средств наземного транспорта (за исключением средств железнодорожного транспорта),ЮЛ,Д2 страхование,Финансовая безопасность,Транспорт,,
- страхование грузов,ЮЛ,Д2 страхование,Финансовая безопасность,Имущество,,
- страхование предпринимательских рисков,ЮЛ,Д2 страхование,Финансовая безопасность,Спокойствие и уверенность,,
- страхование финансовых рисков,ЮЛ,Д2 страхование,Финансовая безопасность,Спокойствие и уверенность,,
- страхование гражданской ответственности владельцев автотранспортных средств,ЮЛ,Д2 страхование,Спокойствие и уверенность,Финансовая безопасность,,
"- страхование гражданской ответственности за причинение вреда вследствие недостатков товаров, работ, услуг",ЮЛ,Д2 страхование,Спокойствие и уверенность,Финансовая безопасность,,
- опционный договор «Автоуверенность»,Для физических лиц,Автоэкспресс,Спокойствие и уверенность,Финансовая безопасность,,
"- услуга ""юрист в дорогу""",Для физических лиц,Автоэкспресс,Спокойствие и уверенность,Финансовая безопасность,,
- лизинг,Для физических лиц,Автоэкспресс,Транспорт,Деньги,,
- миниКАСКО,Для физических лиц,Автоэкспресс,Спокойствие и уверенность,Финансовая безопасность,,
- Финансовая защита,Для физических лиц,Автоэкспресс,Спокойствие и уверенность,Финансовая безопасность,,
- продажа новых автомобилей,Для физических лиц,EXPOCAR,Транспорт,Удобство и комфорт,,
- продажа автомобилей с пробегом,Для физических лиц,EXPOCAR,Транспорт,Приобретение по выгодной цене,,
"- выкуп автомобилей (как у физических, так и у юридических лиц)",Для физических лиц,EXPOCAR,Удобство и комфорт,Финансовая безопасность,,
- сервисное обслуживание автомобилей,Для физических лиц,EXPOCAR,Удобство и комфорт,Транспорт,,
- подбор запасных частей и аксессуаров для автомобилей,Для физических лиц,EXPOCAR,Удобство и комфорт,Транспорт,,
- услуги отдыха в отеле,Для физических лиц,Парк-отель хвоя,Удобство и комфорт,Спокойствие и уверенность,,
"- проведение банкетов, праздников, свадеб (аренда помещения)",Для физических лиц,Парк-отель хвоя,Удобство и комфорт,Привилегии и бонусы,,
- сфера активного отдыха (яхт клуб),Для физических лиц,Парк-отель хвоя,Удобство и комфорт,Привилегии и бонусы,,
- аниматоры в отеле,Для физических лиц,Парк-отель хвоя,Положительные эмоции,Удобство и комфорт,,
- детская сфера развлечений в отеле,Для физических лиц,Парк-отель хвоя,Положительные эмоции,Удобство и комфорт,,
"- деловая сфера (помещения для проведения семинаров, совещаний и встреч)",Для физических лиц,Парк-отель хвоя,Удобство и комфорт,Привилегии и бонусы,,
"- ресторан ""Лес""",Для физических лиц,Парк-отель хвоя,Удобство и комфорт,Положительные эмоции,,
"- медицинский центр- релакс услуги (SPA, cпортивная площадка, тренажерный зал, уличные тренажеры, хамам)",Для физических лиц,Парк-отель хвоя,Удобство и комфорт,Положительные эмоции,,
- услуга аренды автомобиля,Для физических лиц,Парк-отель хвоя,Удобство и комфорт,Транспорт,,
- служба доставки продуктов питания,Для физических лиц,Парк-отель хвоя,Удобство и комфорт,Спокойствие и уверенность,,
- услуги отдыха в отеле,ЮЛ,Парк-отель хвоя,Удобство и комфорт,Спокойствие и уверенность,,
"- проведение банкетов, праздников, свадеб (аренда помещения)",ЮЛ,Парк-отель хвоя,Удобство и комфорт,Привилегии и бонусы,,
"- деловая сфера (помещения для проведения семинаров, совещаний и встреч)",ЮЛ,Парк-отель хвоя,Удобство и комфорт,Привилегии и бонусы,,
- продажа автомобилей,Для физических лиц,Лизинг 1 ( операционный и финансовый лизинг),Транспорт,Удобство и комфорт,,
- обратный выкуп автомобилей,Для физических лиц,Лизинг 1 ( операционный и финансовый лизинг),Удобство и комфорт,Финансовая безопасность,,
- операционный лизинг,Для физических лиц,Лизинг 1 ( операционный и финансовый лизинг),Транспорт,Деньги,,
- продажа автомобилей,ЮЛ,Лизинг 1 ( операционный и финансовый лизинг),Транспорт,Удобство и комфорт,,
- фининасовый лизинг Только ЮЛ:,ЮЛ,Лизинг 1 ( операционный и финансовый лизинг),Деньги,Транспорт,,
- операционная аренда автомобилей- управление автопарком,ЮЛ,Лизинг 1 ( операционный и финансовый лизинг),Транспорт,Удобство и комфорт,,
- обратный выкуп автомобилей,ЮЛ,Лизинг 1 ( операционный и финансовый лизинг),Удобство и комфорт,Финансовая безопасность,,
- операционный лизинг,ЮЛ,Лизинг 1 ( операционный и финансовый лизинг),Транспорт,Деньги,,
- операционная аренда автомобилей  ,ЮЛ,Лизинг 2 ( операционный лизинг),Транспорт,Удобство и комфорт,,
- обратная аренда автомобилей,ЮЛ,Лизинг 2 ( операционный лизинг),Транспорт,Деньги,,
- администрирование корпоративного автопарка ,ЮЛ,Лизинг 2 ( операционный лизинг),Удобство и комфорт,Транспорт,,
- страхование автомобилей КАСКО,ЮЛ,Лизинг 2 ( операционный лизинг),Финансовая безопасность,Транспорт,,
- страхование автомобилей ОСАГО,ЮЛ,Лизинг 2 ( операционный лизинг),Спокойствие и уверенность,Финансовая безопасность,,
- страхование автомобилей ДСАГО,ЮЛ,Лизинг 2 ( операционный лизинг),Спокойствие и уверенность,Финансовая безопасность,,
- ТО и ремонты,ЮЛ,Лизинг 2 ( операционный лизинг),Транспорт,Удобство и комфорт,,
- шинный сервис,ЮЛ,Лизинг 2 ( операционный лизинг),Транспорт,Удобство и комфорт,,
"- услуга ""помощь на дороге""",ЮЛ,Лизинг 2 ( операционный лизинг),Транспорт,Удобство и комфорт,,
- топливные карты,ЮЛ,Лизинг 2 ( операционный лизинг),Транспорт,Приобретение по выгодной цене,,
"- услуга ""телетематика""",ЮЛ,Лизинг 2 ( операционный лизинг),Транспорт,Снижение расходов,,
- перегон автомобилей,ЮЛ,Лизинг 2 ( операционный лизинг),Транспорт,Удобство и комфорт,,
- парк подменных автомобилей,ЮЛ,Лизинг 2 ( операционный лизинг),Транспорт,Удобство и комфорт,,
- менеджмент штрафов ПДД,ЮЛ,Лизинг 2 ( операционный лизинг),Транспорт,Снижение расходов,,
- продажи страховок по истечению срока лизинга,ЮЛ,Лизинг 3,Транспорт,Удобство и комфорт,,
- продажа и лизинг грузовых транспортных средств,Для физических лиц,Лизинг 4 ( финансовый лизинг),Транспорт,Удобство и комфорт,,
- сервисное обслуживание грузовых транспортных средств,Для физических лиц,Лизинг 4 ( финансовый лизинг),Транспорт,Удобство и комфорт,,
- страхование грузовых транспортных средств,Для физических лиц,Лизинг 4 ( финансовый лизинг),Финансовая безопасность,Транспорт,,
- продажа и лизинг грузовых транспортных средств,ЮЛ,Лизинг 4 ( финансовый лизинг),Транспорт,Удобство и комфорт,,
- сервисное обслуживание грузовых транспортных средств,ЮЛ,Лизинг 4 ( финансовый лизинг),Транспорт,Удобство и комфорт,,
- страхование грузовых транспортных средств,ЮЛ,Лизинг 4 ( финансовый лизинг),Финансовая безопасность,Транспорт,,
- факторинг,ЮЛ,Лизинг 5,Финансовая безопасность,Деньги,,
- страхование КАСКО,ЮЛ,Лизинг 5,Финансовая безопасность,Транспорт,,